warning: deligatured word 'A#ne' has multiple source words: Afflne, Affine; EDIT FILE!
warning: deligatured word 'Re#ection' has multiple source words: Reflection, {Refiection|Reflection}; EDIT FILE!
warning: deligatured word 'Ri#' has multiple source words: Riff, {Riff|Rifi}; EDIT FILE!
warning: deligatured word 'Ri#e' has multiple source words: Riffle, {Riffle|Rifle}; EDIT FILE!
warning: deligatured word 'ri#ed' has multiple source words: riffled, riffed; EDIT FILE!
warning: deligatured word 'Ri#ed' has multiple source words: Riffled, Riffed; EDIT FILE!
warning: deligatured word 'ri#e' has multiple source words: rifle, riffle; EDIT FILE!
warning: deligatured word 'Ri#e' has multiple source words: Rifle, {{Riffle|Rifle}|Riffle}; EDIT FILE!
warning: deligatured word 'ri#ed' has multiple source words: rifled, {riffed|riffled}; EDIT FILE!
warning: deligatured word 'Ri#ed' has multiple source words: Rifled, {Riffed|Riffled}; EDIT FILE!
warning: deligatured word 'ri#es' has multiple source words: rifles, riffles; EDIT FILE!
warning: deligatured word 'Ri#es' has multiple source words: Rifles, Riffles; EDIT FILE!
warning: deligatured word 'ri#ing' has multiple source words: rifling, riffling; EDIT FILE!
warning: deligatured word 'Ri#ing' has multiple source words: Rifling, Riffling; EDIT FILE!
warning: deligatured word 'Ru#ed' has multiple source words: Ruffed, Ruffled; EDIT FILE!
warning: deligatured word 'ru#ed' has multiple source words: ruffled, ruffed; EDIT FILE!
warning: deligatured word 'Ru#ed' has multiple source words: Ruffled, {Ruffled|Ruffed}; EDIT FILE!
warning: deligatured word 'Ru#s' has multiple source words: Ruffs, Rufis; EDIT FILE!
warning: deligatured word 'scu#ed' has multiple source words: scuffled, scuffed; EDIT FILE!
warning: deligatured word 'Scu#ed' has multiple source words: Scuffled, Scuffed; EDIT FILE!
warning: deligatured word 'She#er' has multiple source words: Sheffer, {Sheffer|Sheffler}; EDIT FILE!
warning: deligatured word 'sni#ed' has multiple source words: sniffled, sniffed; EDIT FILE!
warning: deligatured word 'Sni#ed' has multiple source words: Sniffled, Sniffed; EDIT FILE!
warning: deligatured word 'snu#ed' has multiple source words: snuffled, snuffed; EDIT FILE!
warning: deligatured word 'Snu#ed' has multiple source words: Snuffled, Snuffed; EDIT FILE!
warning: deligatured word 'So#a' has multiple source words: Sofia, {Soffa|Sofia}; EDIT FILE!
warning: deligatured word 'Sti#er' has multiple source words: Stiffer, Stiffler; EDIT FILE!
warning: deligatured word 'sti#ed' has multiple source words: stifled, stiffed; EDIT FILE!
warning: deligatured word 'Sti#ed' has multiple source words: Stifled, Stiffed; EDIT FILE!
warning: deligatured word 'Tari#' has multiple source words: Tariff, {Tariff|Tariffi}; EDIT FILE!
warning: deligatured word 'Tra#c' has multiple source words: Traffic, {{Traffc|Traffic}|Trafic}; EDIT FILE!
warning: deligatured word 'tra#c' has multiple source words: trafic, traffic; EDIT FILE!
warning: deligatured word 'Tra#c' has multiple source words: Trafic, {{{Traffc|Traffic}|Trafic}|Traffic}; EDIT FILE!
warning: deligatured word 'Wa#e' has multiple source words: Waffle, Waffe; EDIT FILE!
Trie size=14033
